Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PF,Team,Season,Class,Pos,Height
Julian Edmonson,30,5.0,568,10.5,26.2,6.2,15.2,4.3,11.0,9.3,12.5,5.7,3.0,2.3,0.2,5.6,6.6,abilene-christian,2014,3.0,G,73.0
Jacob Lancaster,31,11.0,434,12.0,21.7,11.8,21.5,0.1,0.1,5.0,7.9,19.6,1.0,1.0,5.0,5.6,6.7,abilene-christian,2014,3.0,F,82.0
Parker Wentz,31,29.0,1040,7.7,15.7,3.2,5.6,4.5,10.1,4.5,5.2,3.9,4.9,2.8,0.1,3.4,4.0,abilene-christian,2014,2.0,G,69.0
LaDarrien Williams,16,14.0,474,8.1,21.8,6.4,16.3,1.7,5.5,6.5,9.1,10.5,7.7,2.4,0.5,4.2,5.2,abilene-christian,2014,3.0,G,72.0
Harrison Hawkins,16,16.0,481,6.8,18.1,3.7,10.4,3.1,7.6,7.5,8.8,5.0,6.3,2.1,0.0,6.0,5.8,abilene-christian,2014,3.0,G,72.0
James Pegues,31,0.0,445,7.3,16.6,7.2,15.8,0.1,0.8,6.1,7.4,13.4,2.1,2.9,0.4,6.1,9.4,abilene-christian,2014,2.0,F,78.0
Rafael Farley,27,11.0,421,6.2,15.6,1.5,4.9,4.6,10.7,1.7,2.5,4.9,1.7,0.6,0.3,2.5,4.6,abilene-christian,2014,3.0,G,77.0
Alexsander Milosavljevic,19,0.0,127,7.9,15.4,7.9,14.9,0.0,0.5,1.9,3.7,15.4,1.4,0.0,1.4,4.7,8.8,abilene-christian,2014,3.0,F,81.0
Austin Cooke,31,31.0,914,5.2,11.8,2.1,4.3,3.0,7.5,2.4,3.3,11.4,3.9,1.9,0.3,1.9,4.9,abilene-christian,2014,2.0,F,79.0
Michael Grant,31,17.0,642,5.1,10.2,5.1,9.8,0.0,0.5,4.5,6.6,6.5,2.9,2.8,1.1,4.5,6.5,abilene-christian,2014,1.0,G,77.0
Riley Payne,31,20.0,584,3.9,8.3,3.9,8.3,0.0,0.0,3.2,4.5,7.9,2.4,1.8,0.3,3.3,8.9,abilene-christian,2014,1.0,F,77.0
Chris Blakeley,26,1.0,145,0.8,3.7,0.8,2.0,0.0,1.6,0.0,0.8,5.7,7.7,1.2,0.0,7.7,4.9,abilene-christian,2014,1.0,G,72.0
Tre' Coggins,27,25.0,958,9.3,22.0,4.7,10.1,4.6,11.9,4.4,5.6,4.6,4.5,2.0,0.6,4.7,4.3,air-force,2014,2.0,G,74.0
Zach Moer,12,0.0,52,8.2,16.5,8.2,12.9,0.0,3.5,8.2,11.8,9.4,5.9,1.2,4.7,5.9,9.4,air-force,2014,2.0,C,83.0
Max Yon,30,30.0,1038,7.4,17.0,5.2,10.2,2.1,6.8,6.1,7.8,6.2,4.4,1.5,0.2,4.3,3.4,air-force,2014,3.0,G,76.0
Marek Olesinski,30,28.0,904,7.2,16.8,4.1,7.4,3.2,9.5,3.8,4.9,9.9,3.4,1.2,0.7,3.2,4.9,air-force,2014,3.0,F,81.0
Austin Flues,1,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,20.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,air-force,2014,1.0,F,80.0
Kamryn Williams,23,22.0,718,7.7,17.8,6.0,12.4,1.7,5.4,2.7,4.5,12.8,4.9,1.7,1.8,4.3,4.9,air-force,2014,3.0,F,77.0
Zach Kocur,27,1.0,261,5.6,13.1,2.8,5.4,2.8,7.7,4.5,5.6,7.7,4.5,1.6,0.0,4.0,6.1,air-force,2014,1.0,G,75.0
Darrius Parker,18,3.0,238,6.2,10.0,5.7,8.2,0.5,1.8,4.9,8.2,9.8,3.3,1.0,1.5,3.1,6.9,air-force,2014,1.0,C,79.0
Justin Hammonds,28,22.0,717,6.4,12.5,5.8,10.8,0.6,1.7,3.8,6.3,12.1,3.2,1.7,1.5,3.2,8.6,air-force,2014,3.0,F,78.0
Ethan Michael,7,3.0,47,3.9,15.6,2.6,9.1,1.3,6.5,7.8,13.0,14.3,11.7,0.0,3.9,3.9,5.2,air-force,2014,3.0,F,80.0
Hayden Graham,15,0.0,185,5.9,13.9,3.0,6.3,3.0,7.6,1.7,3.0,6.6,3.6,4.0,2.3,2.3,7.6,air-force,2014,1.0,F,77.0
Scott Adler,9,0.0,32,5.7,11.5,5.7,5.7,0.0,5.7,3.8,9.6,9.6,5.7,0.0,1.9,0.0,1.9,air-force,2014,3.0,G,75.0
DeLovell Earls,20,7.0,391,4.8,13.0,4.2,8.9,0.6,4.1,3.9,6.7,10.0,5.3,2.0,0.6,5.0,8.4,air-force,2014,3.0,F,78.0
Callum Long,7,0.0,76,3.2,8.0,1.6,2.4,1.6,5.6,3.2,4.0,6.4,4.8,0.8,0.8,8.8,8.8,air-force,2014,1.0,G,77.0
Chase Kammerer,28,8.0,252,3.4,8.2,3.2,6.8,0.2,1.5,2.7,5.1,12.1,5.3,2.2,1.2,3.4,8.7,air-force,2014,4.0,F,79.0
Joe Tuss,11,0.0,47,3.9,16.9,2.6,5.2,1.3,11.7,0.0,1.3,7.8,1.3,0.0,0.0,5.2,2.6,air-force,2014,1.0,F,80.0
Nick Jorgensen,11,1.0,127,2.4,7.2,1.4,3.9,1.0,3.4,1.0,2.9,10.6,2.4,1.0,0.5,1.0,7.2,air-force,2014,1.0,F,78.0
Mark Noble,1,0.0,3,20.3,20.3,0.0,0.0,20.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,akron,2014,1.0,G,74.0
Demetrius Treadwell,34,34.0,1131,9.8,21.3,9.7,20.8,0.1,0.5,8.3,13.7,15.8,3.4,1.8,1.6,4.6,3.2,akron,2014,4.0,F,79.0
Quincy Diggs,34,20.0,1003,8.9,21.1,5.7,11.8,3.2,9.2,5.5,8.5,9.6,5.5,3.6,0.3,5.7,3.4,akron,2014,4.0,F,78.0
Nick Harney,30,11.0,630,9.5,19.6,8.9,16.9,0.6,2.7,5.0,8.2,10.1,2.1,1.7,1.5,4.6,8.2,akron,2014,4.0,F,80.0
Adedeji Ibitayo,29,20.0,438,7.5,16.2,3.9,7.0,3.6,9.2,2.4,5.3,8.9,2.0,2.0,1.5,2.5,5.7,akron,2014,3.0,G,76.0
Reggie McAdams,29,14.0,547,6.7,14.4,1.3,1.8,5.4,12.6,1.7,2.2,6.8,1.3,1.2,0.8,0.8,4.4,akron,2014,2.0,F,79.0
Jake Kretzer,28,7.0,683,6.0,15.6,1.5,2.9,4.5,12.7,2.3,3.3,7.2,2.8,1.6,0.4,2.1,4.0,akron,2014,2.0,F,79.0
Pat Forsythe,34,17.0,595,7.2,12.6,7.2,12.6,0.0,0.0,2.9,4.8,11.6,1.7,1.4,3.4,4.8,9.3,akron,2014,2.0,C,83.0
Isaiah Johnson,31,11.0,414,6.8,13.7,6.8,13.7,0.0,0.0,3.7,6.2,12.7,1.8,1.2,4.0,2.8,7.8,akron,2014,1.0,C,82.0
Kwan Cheatham,21,2.0,185,4.3,15.2,1.0,4.9,3.3,10.2,4.3,5.3,9.6,1.6,1.0,1.6,5.3,5.6,akron,2014,1.0,F,81.0
Nyles Evans,34,17.0,705,4.8,14.3,1.5,3.9,3.3,10.4,2.8,4.2,5.0,4.2,2.0,0.4,3.0,5.5,akron,2014,3.0,G,71.0
Carmelo Betancourt,32,17.0,540,2.5,7.2,1.7,4.2,0.8,3.1,1.7,2.7,4.0,8.1,2.7,0.1,5.4,6.1,akron,2014,2.0,G,71.0
Jeremy Crutcher,29,29.0,930,7.4,19.0,4.1,9.7,3.4,9.3,4.7,7.1,6.0,7.6,2.3,0.1,4.3,4.3,alabama-am,2014,4.0,G,68.0
Arthur Capers,30,13.0,568,8.6,19.7,5.8,11.7,2.8,8.1,2.6,3.9,8.7,3.2,2.4,1.0,4.2,6.7,alabama-am,2014,4.0,F,77.0
Nicholas West,24,22.0,392,7.1,18.1,4.6,10.0,2.5,8.1,5.7,9.1,13.7,2.8,1.1,2.9,6.8,8.6,alabama-am,2014,2.0,F,82.0
Brandon Ellis,30,30.0,699,7.7,19.5,4.7,10.4,3.0,9.1,3.9,5.7,6.1,3.4,1.9,0.5,4.4,4.3,alabama-am,2014,4.0,G,75.0
Demarquelle Tabb,28,0.0,623,8.4,17.8,8.4,17.8,0.0,0.0,4.7,7.8,14.5,2.7,2.1,4.0,3.4,8.5,alabama-am,2014,4.0,G,77.0
Justin Colvin,30,0.0,299,6.8,19.1,3.2,7.7,3.6,11.5,3.4,5.4,4.2,2.4,1.6,0.0,4.2,4.2,alabama-am,2014,2.0,G,75.0
Baryn Houston,11,0.0,40,6.0,27.1,3.0,13.5,3.0,13.5,4.5,7.5,15.0,0.0,3.0,1.5,0.0,6.0,alabama-am,2014,2.0,G,79.0
Green Hill,30,2.0,572,4.9,13.2,4.1,9.6,0.8,3.6,8.0,10.7,6.5,7.2,1.4,0.0,4.0,6.0,alabama-am,2014,4.0,G,70.0
Justin Banks,28,15.0,408,6.6,11.8,6.6,11.7,0.0,0.1,4.4,5.6,17.7,0.9,1.0,4.4,3.0,7.8,alabama-am,2014,4.0,C,85.0
Rakiya Battle,18,0.0,116,4.2,15.0,2.1,6.7,2.1,8.3,6.7,11.9,3.6,5.2,1.6,0.5,4.7,6.2,alabama-am,2014,1.0,G,72.0
Tyler Davis,29,16.0,432,4.5,10.9,2.1,4.5,2.4,6.4,2.2,3.5,2.4,2.0,2.0,0.0,1.7,4.3,alabama-am,2014,2.0,G,74.0
Jerome Hunter,29,16.0,383,5.0,11.6,5.0,11.6,0.0,0.0,3.1,4.2,11.0,2.5,2.7,1.6,3.9,9.9,alabama-am,2014,3.0,F,81.0
Xavier Williams,12,0.0,61,3.9,10.9,3.9,10.9,0.0,0.0,4.9,7.9,16.8,1.0,0.0,1.0,4.9,11.8,alabama-am,2014,1.0,F,80.0
Jose Long,30,7.0,530,3.6,9.2,3.2,7.2,0.5,2.0,3.9,7.6,11.6,2.2,1.4,0.7,1.8,7.4,alabama-am,2014,3.0,G,77.0
Matthew Cotton,7,0.0,22,0.0,5.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,2.7,5.5,0.0,2.7,2.7,alabama-am,2014,1.0,G,70.0
Karl Moton,6,0.0,8,14.4,21.6,7.2,7.2,7.2,14.4,0.0,0.0,14.4,0.0,0.0,0.0,0.0,14.4,alabama-birmingham,2014,4.0,G,71.0
Chad Frazier,31,29.0,1095,8.9,22.3,5.7,12.8,3.2,9.5,7.8,10.7,5.4,6.9,1.8,0.5,6.5,3.3,alabama-birmingham,2014,3.0,G,76.0
C.J. Washington,28,27.0,762,10.9,22.6,8.8,16.3,2.1,6.3,3.7,6.7,14.6,1.2,1.9,1.6,2.6,5.8,alabama-birmingham,2014,3.0,F,80.0
Rod Rucker,30,29.0,918,7.2,19.0,7.1,18.5,0.1,0.5,6.2,8.9,13.3,4.0,0.8,0.8,3.8,4.2,alabama-birmingham,2014,4.0,F,77.0
Fahro Alihodzic,31,31.0,767,8.6,18.9,8.6,18.9,0.0,0.0,3.2,5.3,14.6,1.2,1.4,2.3,3.4,6.1,alabama-birmingham,2014,4.0,C,82.0
Robert Williams,31,14.0,793,6.5,16.0,4.9,10.2,1.6,5.8,4.8,7.5,14.3,3.2,1.7,0.4,3.3,4.3,alabama-birmingham,2014,4.0,G,76.0
Tyler Madison,19,0.0,154,5.6,13.8,5.2,10.5,0.4,3.4,5.6,10.8,15.3,1.9,1.5,1.5,2.2,7.1,alabama-birmingham,2014,1.0,G,76.0
Jordan Swing,31,22.0,675,5.3,14.2,3.4,6.5,1.9,7.7,3.3,4.8,9.1,5.4,1.9,0.5,2.6,4.8,alabama-birmingham,2014,4.0,F,78.0
Thaddeus Rideau,10,0.0,66,5.2,18.3,0.9,3.5,4.4,14.8,0.0,0.0,8.7,1.7,2.6,0.9,1.7,6.1,alabama-birmingham,2014,3.0,G,76.0
Tosin Mehinti,31,0.0,387,5.2,11.2,5.2,11.2,0.0,0.0,2.8,4.5,15.5,0.6,1.3,5.2,3.3,10.7,alabama-birmingham,2014,1.0,F,81.0
Denzell Watts,31,1.0,473,4.4,10.6,3.0,6.1,1.3,4.5,2.9,4.6,6.7,5.1,1.7,0.1,3.0,3.5,alabama-birmingham,2014,1.0,G,74.0
Preston Purifoy,24,2.0,178,3.9,10.4,1.9,4.5,1.9,5.8,2.3,3.6,7.1,1.6,1.0,0.6,1.9,3.6,alabama-birmingham,2014,4.0,F,77.0
Devonte' Neal,1,0.0,5,0.0,23.5,0.0,23.5,0.0,0.0,35.3,47.0,35.3,0.0,0.0,0.0,0.0,0.0,alabama-state,2014,2.0,C,82.0
Tony Jacob,5,0.0,22,13.4,16.0,13.4,16.0,0.0,0.0,5.3,16.0,13.4,5.3,2.7,10.7,13.4,16.0,alabama-state,2014,3.0,F,81.0
DeMarcus Robinson,32,26.0,899,8.0,22.0,5.1,11.1,2.9,10.9,5.0,6.4,4.3,3.5,1.6,0.2,2.6,2.5,alabama-state,2014,3.0,G,70.0
Bobby Brown,28,2.0,653,8.2,19.6,5.0,10.0,3.2,9.6,4.3,6.6,12.4,2.3,1.4,1.2,2.2,2.9,alabama-state,2014,2.0,G,78.0
Jamel Waters,32,31.0,1114,7.7,19.9,6.2,14.6,1.5,5.3,6.9,9.0,5.5,10.2,3.1,0.1,4.0,3.7,alabama-state,2014,2.0,G,69.0
Tony Armstrong,23,7.0,347,8.8,16.3,8.8,16.3,0.0,0.0,3.6,6.8,12.4,1.9,1.2,1.5,3.4,8.1,alabama-state,2014,1.0,F,78.0
Brandon Graham,32,30.0,848,7.1,15.3,5.2,9.0,1.9,6.2,3.9,5.5,11.2,1.7,1.6,1.8,3.1,6.2,alabama-state,2014,3.0,F,79.0
Darius Scott,12,0.0,31,7.6,13.3,5.7,7.6,1.9,5.7,1.9,1.9,5.7,5.7,0.0,3.8,1.9,9.5,alabama-state,2014,2.0,F,77.0
Billy Ingram,25,0.0,234,7.0,17.3,4.5,8.0,2.5,9.3,2.3,4.0,7.3,2.0,1.5,0.5,4.0,7.3,alabama-state,2014,1.0,G,78.0
Maurice Strong,32,32.0,878,6.8,14.6,6.8,14.4,0.0,0.2,4.8,8.2,14.4,1.7,1.5,2.1,4.2,7.0,alabama-state,2014,3.0,F,78.0
DeAngelo Stewart,9,0.0,72,5.7,20.4,2.4,7.3,3.3,13.1,1.6,2.4,8.2,4.1,3.3,0.8,0.8,4.9,alabama-state,2014,1.0,G,76.0
Terrance LeFlore,32,6.0,540,5.8,16.2,3.4,7.5,2.4,8.7,2.3,3.5,6.1,3.9,2.4,0.3,4.4,6.0,alabama-state,2014,1.0,G,73.0
Luther Page,32,26.0,826,5.6,11.5,5.6,11.2,0.0,0.2,4.6,7.1,11.5,1.9,2.3,1.4,4.1,6.5,alabama-state,2014,2.0,F,78.0
Nick Davis,6,0.0,23,2.6,17.9,0.0,2.6,2.6,15.3,2.6,5.1,7.7,0.0,2.6,0.0,2.6,5.1,alabama-state,2014,1.0,G,77.0
Sean Burroughs,1,0.0,0,,,,,,,,,,,,,,,alabama-state,2014,1.0,F,79.0
Isiah Wilson,4,1.0,11,11.3,33.9,11.3,28.2,0.0,5.6,11.3,16.9,33.9,5.6,11.3,0.0,0.0,0.0,alabama,2014,4.0,G,75.0
Trevor Releford,31,30.0,1078,10.8,21.7,6.6,11.2,4.1,10.5,7.4,8.7,6.2,5.6,4.0,0.2,4.7,4.8,alabama,2014,4.0,G,72.0
Dakota Slaughter,11,0.0,29,10.7,17.1,4.3,4.3,6.4,12.8,0.0,0.0,15.0,4.3,4.3,2.1,0.0,4.3,alabama,2014,3.0,F,78.0
Nick Jacobs,25,10.0,501,11.5,22.2,11.5,22.1,0.0,0.1,3.0,5.2,10.8,0.9,0.5,1.9,3.2,5.9,alabama,2014,3.0,F,80.0
Shannon Hale,31,20.0,698,7.8,18.1,5.1,10.2,2.8,7.8,6.0,9.4,9.9,2.8,1.5,1.0,4.8,5.5,alabama,2014,1.0,F,80.0
Retin Obasohan,30,19.0,862,6.0,15.7,5.0,11.6,1.0,4.1,7.5,11.2,6.5,3.5,3.9,2.1,4.0,6.1,alabama,2014,2.0,G,73.0
Levi Randolph,32,19.0,958,6.7,15.9,4.5,9.7,2.1,6.2,4.3,6.2,8.0,2.9,1.7,0.3,3.3,4.0,alabama,2014,3.0,G,77.0
Rodney Cooper,32,23.0,939,5.4,15.5,3.5,8.3,1.9,7.3,3.0,4.1,10.3,4.0,1.1,1.0,2.8,5.7,alabama,2014,3.0,G,78.0
Algie Key,32,9.0,492,5.0,12.5,4.9,11.6,0.1,0.9,4.5,6.8,9.1,5.7,2.1,0.5,3.2,6.7,alabama,2014,3.0,G,76.0
Jimmie Taylor,32,18.0,542,4.4,7.1,4.4,7.1,0.0,0.0,2.4,6.0,12.0,0.6,0.6,4.6,1.7,8.4,alabama,2014,1.0,F,82.0
Carl Engstrom,31,9.0,365,3.4,6.3,3.4,6.3,0.0,0.0,1.7,2.7,12.9,1.5,0.7,2.4,3.4,9.0,alabama,2014,3.0,C,85.0
Anders Haas,21,0.0,134,8.5,25.1,1.4,4.3,7.1,20.8,5.2,6.2,5.7,2.4,0.5,0.0,3.8,5.2,albany-ny,2014,2.0,G,73.0
Peter Hooley,33,32.0,1157,7.8,19.7,3.9,9.7,3.9,10.0,8.5,10.0,4.9,4.8,1.5,0.0,3.7,2.8,albany-ny,2014,2.0,G,76.0
Sam Rowley,34,33.0,993,9.6,18.7,9.6,18.6,0.0,0.1,5.0,7.3,15.0,3.9,2.4,1.3,6.3,7.2,albany-ny,2014,3.0,F,78.0
Gary Johnson,32,30.0,974,8.1,15.4,7.9,14.9,0.1,0.5,6.7,9.1,10.3,3.0,1.3,0.8,3.9,4.2,albany-ny,2014,4.0,F,78.0
DJ Evans,34,34.0,1149,7.2,18.2,4.6,10.5,2.6,7.7,5.1,6.6,6.4,5.1,2.6,0.1,3.6,4.1,albany-ny,2014,4.0,G,69.0
Ede Egharevba,13,1.0,76,7.5,19.2,5.8,11.7,1.7,7.5,5.0,5.8,13.4,3.3,3.3,0.0,7.5,8.3,albany-ny,2014,2.0,F,78.0
Dallas Ennema,23,0.0,279,6.4,13.4,1.8,3.4,4.5,10.0,3.0,5.0,10.7,3.6,1.1,0.2,3.4,7.7,albany-ny,2014,1.0,F,78.0
Anthony Odunsi,5,0.0,25,5.1,12.7,5.1,12.7,0.0,0.0,5.1,5.1,5.1,2.5,2.5,0.0,5.1,7.6,albany-ny,2014,3.0,G,76.0
John Puk,34,34.0,982,5.8,13.0,5.8,13.0,0.0,0.0,2.5,3.3,9.8,1.3,0.8,2.8,2.5,7.2,albany-ny,2014,4.0,C,82.0
Luke Devlin,30,1.0,391,5.0,10.2,5.0,10.2,0.0,0.0,1.6,3.4,11.8,3.4,1.6,1.0,2.4,4.9,albany-ny,2014,4.0,F,80.0
Mike Rowley,27,0.0,277,3.4,10.3,2.5,7.1,0.9,3.2,3.9,6.0,13.3,1.6,2.1,0.0,3.7,7.6,albany-ny,2014,1.0,F,80.0
Levan Shengelia,18,0.0,132,3.8,10.6,3.8,10.6,0.0,0.0,3.8,5.8,13.9,1.9,1.9,3.4,3.4,7.2,albany-ny,2014,3.0,F,81.0
Dave Wiegmann,29,5.0,302,3.6,9.2,3.2,6.9,0.4,2.3,2.3,4.0,13.9,2.3,1.3,2.1,3.8,6.1,albany-ny,2014,4.0,F,80.0
Reece Williams,5,0.0,5,0.0,12.7,0.0,12.7,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,12.7,0.0,albany-ny,2014,2.0,G,73.0
LeAntwan Luckett,31,22.0,924,11.4,26.9,9.9,21.5,1.5,5.4,8.8,12.9,4.8,4.6,2.9,0.5,5.5,5.9,alcorn-state,2014,2.0,F,76.0
Denarius Odell,5,0.0,34,10.9,25.4,9.1,21.7,1.8,3.6,3.6,12.7,7.2,7.2,5.4,0.0,5.4,10.9,alcorn-state,2014,1.0,G,73.0
Octavius Brown,30,28.0,992,8.9,17.9,7.1,13.0,1.8,4.9,5.4,8.3,12.0,1.4,1.4,1.8,2.6,4.3,alcorn-state,2014,3.0,F,80.0
Marquis Vance,30,17.0,771,8.3,20.0,7.1,15.7,1.2,4.3,6.1,10.1,12.2,2.6,1.1,0.8,3.4,3.6,alcorn-state,2014,1.0,F,79.0
Twann Oakley,28,7.0,445,6.9,17.4,3.2,6.0,3.7,11.5,4.8,6.4,5.7,2.2,2.2,0.4,2.2,2.9,alcorn-state,2014,4.0,G,76.0
Tyrel Hunt,27,3.0,252,6.6,15.6,6.6,15.4,0.0,0.2,6.4,9.5,9.5,1.2,1.5,0.7,2.9,5.4,alcorn-state,2014,2.0,F,77.0
Shaunessy Smith,10,9.0,237,5.5,20.3,4.2,12.2,1.3,8.1,6.0,7.3,5.2,2.6,1.6,0.0,4.2,1.3,alcorn-state,2014,4.0,G,78.0
Corey Young,13,0.0,61,6.1,14.1,3.0,5.0,3.0,9.1,0.0,0.0,8.1,0.0,0.0,0.0,2.0,1.0,alcorn-state,2014,3.0,C,82.0
Devonte Hampton,29,16.0,695,5.4,14.2,3.2,7.5,2.2,6.6,1.9,3.5,8.2,4.2,2.2,0.5,4.3,5.5,alcorn-state,2014,2.0,G,73.0
Josh Nicholas,24,4.0,278,4.9,10.9,4.9,10.9,0.0,0.0,1.6,2.9,15.1,1.6,1.8,5.8,3.3,12.8,alcorn-state,2014,4.0,F,84.0
Anthony Evans,29,11.0,461,4.0,11.8,3.3,8.7,0.7,3.1,2.4,3.5,5.7,6.7,2.4,0.0,2.7,4.7,alcorn-state,2014,4.0,G,73.0
Marius Myles,29,11.0,465,2.8,6.1,2.8,6.1,0.0,0.0,2.6,3.7,9.0,1.2,2.0,1.2,2.0,7.3,alcorn-state,2014,4.0,F,77.0
Stephane Raquil,31,26.0,539,2.7,6.5,2.7,6.4,0.0,0.1,1.6,3.3,9.0,0.8,0.7,2.5,1.9,10.1,alcorn-state,2014,4.0,F,82.0
George Thomas,25,1.0,169,2.2,6.9,1.1,3.3,1.1,3.6,0.4,0.4,7.7,1.1,1.1,0.4,3.6,7.7,alcorn-state,2014,2.0,F,78.0
DeCarlos Holmes,1,0.0,0,,,,,,,,,,,,,,,alcorn-state,2014,1.0,F,80.0
Jalen Rhea,13,0.0,55,9.6,21.6,1.2,3.6,8.4,18.0,8.4,12.0,7.2,1.2,0.0,0.0,1.2,1.2,american,2014,1.0,G,74.0
Jesse Reed,31,31.0,1095,9.0,17.9,5.4,10.0,3.6,7.9,4.0,5.4,8.2,3.1,2.2,1.0,3.4,4.8,american,2014,2.0,G,77.0
Tony Wroblicky,33,33.0,1055,9.7,16.6,9.7,16.6,0.0,0.0,5.6,7.7,14.9,6.2,2.1,3.8,6.2,7.2,american,2014,4.0,C,82.0
Kyle Kager,33,33.0,589,7.6,15.3,6.4,10.6,1.2,4.7,4.8,6.4,12.5,3.2,1.9,0.7,4.9,4.8,american,2014,3.0,F,80.0
John Schoof,33,33.0,1208,6.8,16.2,2.9,6.3,3.9,9.9,3.1,4.0,5.4,3.8,0.9,0.2,3.1,3.4,american,2014,3.0,G,77.0
Darius Gardner,33,33.0,1222,7.3,14.3,5.9,10.5,1.5,3.8,4.0,5.4,6.7,7.4,3.7,0.4,5.1,4.4,american,2014,3.0,G,69.0
Austin Carroll,25,0.0,169,5.5,14.8,0.8,1.6,4.7,13.2,1.9,2.7,6.6,3.5,1.2,0.0,2.7,7.8,american,2014,3.0,G,75.0
Marko Vasic,32,0.0,497,6.8,14.2,5.2,8.1,1.6,6.1,1.3,2.9,10.2,5.3,0.9,0.7,3.4,7.8,american,2014,2.0,F,77.0
Yilret Yiljep,13,0.0,147,5.8,11.6,5.8,11.6,0.0,0.0,3.1,5.4,12.1,6.7,0.4,1.3,8.5,13.4,american,2014,1.0,F,79.0
Zach Elcano,16,0.0,91,3.6,4.3,3.6,4.3,0.0,0.0,2.9,4.3,8.0,2.2,1.4,0.7,5.1,13.0,american,2014,2.0,C,83.0
Charlie Jones,26,2.0,349,3.6,8.7,2.5,5.1,1.1,3.6,1.7,3.2,8.7,4.2,1.7,1.1,2.8,6.6,american,2014,1.0,G,76.0
Justice Montgomery,21,0.0,145,1.8,10.0,1.4,6.8,0.5,3.2,2.3,6.8,3.2,6.8,1.8,0.0,7.3,10.0,american,2014,1.0,G,71.0
Jordan Borucki,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,0.0,american,2014,4.0,G,76.0
Kade Kager,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,32.9,0.0,0.0,0.0,0.0,0.0,american,2014,1.0,G,75.0
Langdon Neal,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,american,2014,1.0,G,72.0
Mitch Purgason,3,0.0,6,9.9,29.7,0.0,0.0,9.9,29.7,0.0,0.0,19.8,0.0,0.0,0.0,19.8,0.0,appalachian-state,2014,3.0,G,68.0
Jay Canty,9,5.0,230,10.3,19.6,9.3,16.5,1.0,3.1,7.0,10.1,8.8,3.4,3.1,0.8,5.7,4.9,appalachian-state,2014,3.0,F,78.0
Mike Kobani,20,0.0,187,12.4,20.3,12.4,20.3,0.0,0.0,2.5,8.3,16.5,0.3,0.6,0.6,3.5,12.4,appalachian-state,2014,1.0,F,80.0
Tab Hamilton,30,29.0,958,8.6,23.7,5.1,12.8,3.5,10.8,3.0,3.8,4.8,2.2,2.2,0.2,3.0,3.5,appalachian-state,2014,3.0,G,75.0
Tevin Baskin,25,16.0,522,8.0,20.6,7.3,18.1,0.7,2.5,6.9,9.9,10.8,1.7,1.9,1.6,4.9,7.8,appalachian-state,2014,4.0,F,78.0
Aaron Scott,10,0.0,99,7.8,15.6,4.8,6.6,3.0,9.0,3.6,6.0,3.0,2.4,0.6,0.0,1.8,3.6,appalachian-state,2014,1.0,G,76.0
Rantavious Gilbert,18,1.0,155,8.8,18.0,8.8,18.0,0.0,0.0,4.2,6.5,14.2,1.5,0.8,4.6,3.1,8.0,appalachian-state,2014,2.0,F,81.0
Dustin Clarke,3,0.0,11,10.8,32.4,10.8,21.6,0.0,10.8,0.0,0.0,21.6,5.4,5.4,0.0,5.4,5.4,appalachian-state,2014,2.0,G,75.0
Tommy Spagnolo,30,18.0,724,8.4,14.0,8.4,14.0,0.0,0.0,4.1,7.5,17.1,2.3,1.2,2.1,3.3,7.1,appalachian-state,2014,4.0,F,79.0
Michael Neal,26,19.0,735,6.7,19.2,4.2,11.5,2.5,7.8,4.4,6.9,4.1,6.9,2.1,0.6,4.5,4.2,appalachian-state,2014,3.0,G,74.0
Ty Toney,22,6.0,426,6.0,15.3,5.4,12.3,0.6,3.1,6.4,8.9,6.1,5.2,2.2,0.4,4.0,5.4,appalachian-state,2014,1.0,G,74.0
Frank Eaves,26,3.0,422,5.9,18.7,3.8,9.6,2.1,9.1,4.4,6.0,6.2,2.4,1.8,0.0,2.1,4.9,appalachian-state,2014,2.0,G,74.0
Chris Burgess,30,26.0,754,5.7,14.2,3.5,7.2,2.3,6.9,3.1,3.7,3.5,5.5,1.3,0.0,3.4,5.7,appalachian-state,2014,2.0,G,68.0
Michael Obacha,30,27.0,820,3.5,8.2,3.5,8.2,0.0,0.0,4.6,9.1,18.9,1.2,2.1,0.9,2.2,7.4,appalachian-state,2014,2.0,F,80.0
Jarett Upchurch,6,0.0,8,21.7,21.7,14.5,14.5,7.2,7.2,0.0,0.0,7.2,0.0,7.2,0.0,0.0,14.5,arizona-state,2014,4.0,G,73.0
